100884584RR0001,41455,4,,4,,,,,,,,9,206282,409058
100884949RR0001,41364,11,8,3,,,,,,,,16,158803,615730
100884956RR0001,41639,5,5,,,,,,,,,8,100000,328353
100885821RR0001,41364,1,1,,,,,,,,,,,35000
100886381RR0001,41364,4,3,1,,,,,,,,,,199511
100886407RR0001,41364,6,4,2,,,,,,,,,,212251
100886415RR0001,41364,4,3,1,,,,,,,,79,108347,240041
100886522RR0001,41394,5,4,1,,,,,,,,29,143850,374502
100886530RR0001,41455,2,1,1,,,,,,,,53,307174,419396
100886993RR0001,41364,204,192,10,2,,,,,,,,,4680418
100887025RR0001,41364,100,3,6,1,,,,,,,8,64355,2243195
100887082RR0001,41639,,,,,,,,,,,,,
100887272RR0001,41364,,,,,,,,,,,4,29722,29722
100887835RR0001,41455,53,,9,1,,,,,,,27,267154,3241276
100889997RR0001,41455,9,6,3,,,,,,,,,,405022
100890011RR0001,41455,7,6,1,,,,,,,,,,203804
100890094RR0001,41364,4,,,,,,,,,,,,175682
100890227RR0001,41455,9,7,2,,,,,,,,28,483717,860158
100890821RR0001,41639,5,3,,,,,,,,,2,8367,53260
100890920RR0001,41639,3,2,1,,,,,,,,,,20467
100891134RR0001,41364,17,,,,,,,,,,17,,62399
100891191RR0001,41364,4,4,,,,,,,,,9,70169,205043
100891258RR0001,41639,1,1,,,,,,,,,5,35545,88535
100891449RR0001,41639,,,,,,,,,,,,,
100892272RR0001,41517,,,,,,,,,,,4,13020,13020
100892918RR0001,41364,3,3,,,,,,,,,,,117916
100892959RR0001,41364,11,8,2,,,,,,,,7,56758,534257
100893379RR0001,41364,15,,,,,,,,,,,,599375
100893528RR0001,41425,2,,2,,,,,,,,13,26747,149593
100893700RR0001,41425,2,,2,,,,,,,,10,268928,268928
100904085RR0001,41364,84,7,3,,,,,,,,21,436200,1855828
100909753RR0001,41517,,,,,,,,,,,,,
100910215RR0001,41364,8,7,1,,,,,,,,10,72452,357504
100914647RR0001,41639,,8,1,,,,,,,,3,32800,503057
100917020RR0001,41364,,,,,,,,,,,2,35170,35170
100931203RR0001,41364,,,6,4,,,,,,,167,3547674,10825516
100952753RR0001,41639,5,1,4,,,,,,,,7,33937,314488
100957497RR0001,41455,,,,,,,,,,,1,2795,2795
100960863RR0001,41639,5,5,,,,,,,,,,,83908
100966175RR0001,41364,5,1,4,,,,,,,,9,222629,486578
100977180RR0001,41364,2,1,1,,,,,,,,4,215406,294038
100987213RR0001,41364,90,4,5,1,,,,,,,,,2613853
101015469RR0001,41394,,,,,,,,,,,,,
101021483RR0001,41639,,,,,,,,,,,,,4612
101023059RR0001,41364,4,4,,,,,,,,,2,5959,103337
101023703RR0001,41364,,,,,,,,,,,,,
101024560RR0001,41364,2,2,,,,,,,,,6,35568,98957
101026615RR0001,41608,2,1,1,,,,,,,,5,28812,104764
101027613RR0001,41364,6,5,1,,,,,,,,5,27775,249915
101039329RR0001,41455,1,1,,,,,,,,,,,32747
101050417RR0001,41517,21,14,6,,1,,,,,,10,163717,1098352
101051282RR0001,41455,22,,16,,2,,,,,,48,357519,1885909
101051381RR0001,41455,26,,8,2,,,,,,,48,1341004,3511075
101051407RR0001,41455,32,,,8,1,1,,,,,29,875131,3828219
101064061RR0001,41455,,,,,,,,,,,,,
101065183RR0001,41455,17,9,1,,,,,,,,17,97092,610584
101065571RR0001,41517,,,,,,,,,,,,,
